1.531141,5.118116,-1.637227
1.426076,5.274347,-1.611504
1.436679,5.267837,-1.636295
1.591120,5.155960,-1.603104
1.613457,5.191800,-1.589006
1.619312,5.060289,-1.576840
1.596895,5.107915,-1.502057
1.489739,5.089824,-1.527260
1.385064,5.073360,-1.486519
1.427183,5.111680,-1.487491
1.478766,5.094731,-1.539656
1.504517,5.054601,-1.525971
1.537953,5.050974,-1.531232
1.551185,5.052173,-1.511684
1.516261,5.026716,-1.510280
1.461773,5.074841,-1.497288
1.452770,5.037107,-1.532002
1.475949,5.021465,-1.500495
1.445420,4.993960,-1.453653
1.458051,4.971045,-1.446326
1.480032,4.966436,-1.430592
1.448961,4.980952,-1.434545
1.470776,5.007431,-1.484561
1.497210,4.991542,-1.509194
1.512398,4.991080,-1.450378
1.482968,4.960089,-1.415441
1.492845,4.910345,-1.417083
1.452595,4.909703,-1.401965
1.435800,4.861834,-1.427529
1.417975,4.906523,-1.396204
1.442802,4.930633,-1.403518
1.444937,4.867378,-1.399607
1.458852,4.867154,-1.406794
1.446193,4.851605,-1.368995
1.424000,4.856955,-1.365534
1.384918,4.874267,-1.375189
1.406741,4.858247,-1.405871
1.404579,4.849149,-1.400211
1.442563,4.862586,-1.445021
1.447769,4.853703,-1.359308
1.412364,4.816474,-1.327042
1.388152,4.784831,-1.305559
1.450086,4.791144,-1.352252
1.435830,4.777452,-1.296946
1.458021,4.738785,-1.307151
1.516035,4.788841,-1.323763
1.390552,4.684302,-1.311036
1.403297,4.717838,-1.261511
1.283645,4.749153,-1.287679
1.163159,4.795690,-1.289790
1.200047,4.817321,-1.297510
1.268043,4.710893,-1.263885
1.443509,4.623064,-1.241058
1.562508,4.633541,-1.294532
1.501489,4.670299,-1.259416
1.499529,4.666033,-1.256724
1.408153,4.689503,-1.270600
1.420270,4.709263,-1.246895
1.366026,4.625853,-1.206305
1.279331,4.623311,-1.215122
1.306522,4.565994,-1.171238
1.317073,4.558621,-1.197788
1.326471,4.569166,-1.191358
1.344138,4.586680,-1.174899
1.388618,4.617260,-1.194955
1.400131,4.603574,-1.253626
1.394117,4.557785,-1.205570
1.364985,4.651114,-1.278093
1.362701,4.512020,-1.238339
1.398413,4.361436,-1.128956
1.353005,4.524146,-1.168945
1.315856,4.530829,-1.159219
1.310826,4.484641,-1.202882
1.323771,4.585455,-1.186172
1.354923,4.429515,-1.154366
1.299462,4.475575,-1.120364
1.270415,4.433262,-1.119125
1.313963,4.393461,-1.166162
1.312658,4.458132,-1.155293
1.243059,4.413409,-1.101510
1.256662,4.404631,-1.092326
1.255404,4.400256,-1.089919
1.323268,4.382478,-1.114590
1.312302,4.377652,-1.111919
1.269371,4.439946,-1.104090
1.284722,4.400327,-1.097709
1.319246,4.384621,-1.101586
1.295429,4.392311,-1.076300
1.226990,4.326150,-1.056585
1.259662,4.300872,-1.088436
1.267096,4.300071,-1.062929
1.251259,4.283479,-1.016782
1.297513,4.309428,-1.084710
