# Data format: "%float(LinearAccelX),%float(LinearAccelY),%float(LinearAccelZ)"
-0.01111,-0.03539,-0.01450
-0.00767,-0.02655,-0.00986
-0.01080,-0.03605,-0.03564
-0.01692,-0.01795,-0.02490
0.00758,-0.02208,-0.04070
0.00252,-0.02769,-0.03734
0.00944,-0.01945,-0.04889
0.01392,-0.03432,-0.05161
-0.00622,-0.02476,-0.04567
0.00568,-0.02438,-0.02194
-0.00163,0.00215,-0.02448
-0.01389,-0.00668,-0.03736
-0.00318,-0.02112,-0.01969
0.00340,-0.00460,-0.04856
-0.00983,-0.00677,-0.03648
0.00161,-0.00723,-0.04037
-0.00687,-0.04492,-0.03442
0.00305,-0.01305,-0.03770
-0.00282,-0.00616,-0.00953
-0.00514,-0.04196,-0.03202
-0.00700,-0.04134,-0.01337
0.02027,-0.01064,-0.03834
0.00047,-0.00935,-0.01507
-0.00981,-0.02968,-0.01864
0.02099,-0.01665,-0.04221
0.01507,-0.02536,-0.04526
0.00521,-0.01545,-0.01804
-0.00133,-0.02141,-0.02770
0.00553,-0.03934,-0.03192
0.01209,-0.03662,-0.03271
0.00009,-0.03049,-0.03547
0.01632,-0.00469,-0.03928
0.02567,-0.01038,-0.02433
-0.00089,-0.02709,-0.02092
0.00610,-0.00974,-0.02216
-0.00651,-0.02410,-0.02431
0.02222,-0.03952,-0.02178
-0.00049,-0.03894,-0.02455
0.01254,-0.03319,-0.01560
-0.00227,-0.00923,-0.01328
-0.03076,-0.01769,-0.02967
-0.00627,-0.04181,-0.02780
0.00197,-0.01290,-0.03348
-0.00379,-0.00633,-0.01588
0.00083,0.00789,-0.02601
0.02288,-0.03935,-0.01534
0.00419,-0.02505,-0.04531
0.01247,-0.03319,-0.01568
-0.00103,-0.02416,-0.02102
0.00168,-0.01550,-0.02288
0.01268,-0.01060,-0.04402
-0.00712,-0.02492,-0.05198
0.01103,-0.00119,-0.02562
0.01117,-0.02476,-0.02894
-0.00026,-0.02431,-0.02506
0.02287,-0.01025,-0.02275
-0.00490,-0.02472,-0.04299
-0.01001,-0.05032,-0.02194
0.00092,-0.01275,-0.02945
-0.00328,-0.01233,-0.01979
-0.02198,-0.02421,-0.04246
-0.00792,-0.00331,-0.01690
-0.00361,-0.03022,-0.02985
0.01367,-0.02813,-0.04106
-0.02599,-0.01794,-0.03298
0.01579,-0.03053,-0.02148
0.01855,-0.02512,-0.03380
-0.00503,-0.02440,-0.03250
0.01440,0.00764,-0.02103
-0.01121,-0.02629,-0.00409
-0.00297,-0.00681,-0.03062
0.00020,-0.00675,-0.02571
0.00277,-0.02718,-0.02019
-0.00504,-0.02765,-0.04305
-0.00678,-0.02736,-0.03495
