# Data format: "%float(LinearAccelX),%float(LinearAccelY),%float(LinearAccelZ)"
-0.53890,14.74347,4.91334
0.41968,14.37889,5.29883
-0.37291,14.05151,4.77108
-0.25755,14.65174,4.66799
0.33894,14.34900,4.91359
0.00539,14.43147,4.62271
-0.20079,14.58378,4.74680
0.00000,14.66674,5.03147
0.36885,15.09164,4.60183
-0.01244,14.61923,5.35032
-0.77734,14.50043,4.74358
-0.25214,14.23120,4.50567
-0.21824,14.78606,4.74691
0.17081,14.61806,4.27540
0.12047,14.29667,4.77671
-0.19696,14.13104,4.47112
-0.54733,13.97759,5.38203
0.25901,14.76026,4.89583
-0.02674,15.00854,5.09779
-0.02533,14.33394,4.64206
-0.13485,14.64340,4.33005
-0.14489,14.92514,5.07940
-0.62488,14.26031,4.58166
-0.03112,14.56861,5.05329
0.27257,14.35386,4.30517
0.10253,15.15624,5.01580
-0.09894,14.86978,4.76428
0.30801,14.54880,4.62337
0.13056,14.75303,4.71307
-0.10007,14.44602,4.61246
0.40525,14.50358,4.84271
-0.29177,14.60148,5.02487
-0.12354,14.44212,4.65448
-0.40805,15.11396,5.00887
-0.21108,14.61455,4.56673
-0.27945,14.41451,4.62210
0.04206,14.84775,5.12226
0.18012,14.57312,4.55629
0.04988,14.75391,4.44533
0.03886,14.61195,5.04240
-0.03104,14.31711,4.75150
-0.14142,14.54892,4.93633
-0.21053,14.70925,4.91326
0.40707,14.67588,4.69271
0.21607,14.51690,4.57173
-0.08144,14.92017,5.06210
-0.14024,14.32934,4.74898
-0.02073,14.05260,4.84505
-0.17445,14.62132,4.81360
-0.06781,14.85997,5.11977
0.12450,14.76790,4.93766
-0.19233,14.30488,4.94187
0.08381,14.55657,4.72751
0.09027,14.69943,5.08086
0.07404,14.52382,4.94339
-0.26197,14.04146,4.76693
-0.02496,14.56869,4.72538
0.02265,14.60837,4.75583
-0.34475,14.65369,4.72416
0.17058,14.32043,4.58621
-0.18145,14.43201,5.07348
-0.06376,14.81261,4.78280
-0.19201,14.77391,4.48432
-0.14488,14.73576,5.01179
0.05034,14.87952,4.90953
0.17209,14.38338,4.81771
0.31011,14.48605,5.01693
0.05045,14.51898,4.98835
-0.14485,14.42128,4.47889
-0.14486,13.95169,4.93799
-0.04141,14.36097,4.47432
0.25327,14.52267,4.82188
-0.04542,14.87726,4.35420
0.27956,14.37040,4.82266
-0.26352,14.79245,4.73012
0.07807,14.93074,4.87717
-0.04638,14.79917,4.85183
-0.02726,14.39498,4.87973
0.01631,15.34304,4.82685
-0.12748,14.29906,4.92724
0.19622,14.55903,4.62778
0.08350,14.58659,4.84799
0.18666,14.52627,4.84345
-0.38788,14.66060,4.70571
-0.00021,14.32040,4.38436
-0.07987,14.76194,5.11124
-0.06761,14.18352,4.67016
-0.28082,14.50709,4.97509
-0.26577,14.58776,4.76716
-0.03054,14.47285,5.33506
-0.39985,14.39187,4.84207
0.26898,14.66566,4.84731
0.12575,14.54643,4.75659
0.09322,14.14934,5.09243
-0.20734,14.72335,4.81270
0.08506,14.25753,5.04228
0.02353,14.66988,4.99187
-0.17836,14.77532,4.77789
-0.00057,14.63415,4.91932
0.01216,14.54226,4.86192
-0.07746,14.15043,4.88681
-0.13358,14.21889,4.80637
0.13084,14.65727,4.99563
-0.03698,14.47081,4.71676
-0.11071,14.22286,4.76417
0.25295,14.69403,4.67539
-0.17719,14.61880,4.82166
0.05066,14.29815,4.80510
-0.15840,14.18307,4.73408
0.13330,14.50089,5.03895
0.11911,14.10616,4.71303
0.10913,14.07331,4.92885
-0.12113,14.58166,5.01819
0.01519,14.55823,4.75546
0.10651,14.73068,4.54295
-0.02392,14.44155,4.89164
-0.23687,14.37306,5.15942
0.17397,14.42908,4.83255
0.05331,14.67426,4.62147
0.04036,14.37414,4.64174
-0.45379,14.08369,4.61982
0.20735,14.10538,4.65318
-0.33989,14.96593,4.93677
-0.33942,14.15056,4.74660
0.26893,14.50806,4.89470
0.05462,14.76844,4.96897
0.09289,14.42989,4.56554
-0.09762,14.22454,5.05617
-0.09192,14.77383,4.72029
-0.14309,14.81228,5.14390
-0.67855,14.63967,4.71780
-0.10194,14.67783,4.70552
0.12180,14.40378,5.02761
0.20570,14.74765,4.99537
0.23141,14.53251,4.76476
-0.25092,14.82447,5.14145
-0.21811,14.36001,5.22686
0.30564,14.38862,4.67980
-0.12702,14.53258,5.01413
0.58075,14.53106,4.84656
0.08586,14.60106,4.74650
0.16663,14.63125,5.13055
-0.24682,14.41752,4.88058
-0.00160,14.80521,4.77376
-0.09134,14.77369,4.72078
-0.05145,14.95303,4.81673
-0.36822,14.06657,4.66759
-0.20133,14.61321,4.86899
-0.20206,14.50362,5.25026
-0.06942,14.57349,4.71390
-0.13807,14.76526,4.80662
-0.36553,14.69409,4.78553
-0.14282,13.93359,4.72382
-0.55412,14.26935,5.08838
0.10933,14.49523,5.08631
-0.13352,14.35820,4.54618
-0.29123,14.58157,4.81643
-0.22170,14.87613,5.10770
-0.16695,14.28963,4.68927
0.16186,14.55116,5.00948
0.15517,14.83209,4.80866
-0.22461,14.21699,4.87473
0.31444,14.38935,4.35090
-0.46254,14.04981,4.83883
0.49673,14.60999,5.03360
0.11062,15.12259,5.20471
-0.09703,14.33325,4.67767
0.17656,14.30321,4.99440
-0.32437,14.29357,4.77192
-0.00451,14.63190,4.92647
-0.17900,14.22498,4.79028
0.04934,14.35917,5.04222
0.39934,14.46734,4.74289
-0.03882,14.56325,5.06971
-0.20916,14.06337,5.20629
-0.02756,14.69094,5.19935
-0.07874,14.35243,4.85831
-0.05839,14.01133,5.11652
-0.15241,14.91979,5.09591
-0.08492,14.63350,4.65702
0.15412,14.50333,5.00160
-0.10260,14.74044,4.93767
-0.37620,13.87734,4.92631
-0.03745,14.20351,5.14563
-0.13022,14.82969,4.70611
-0.04299,14.62543,4.67926
-0.06269,14.52830,4.99479
-0.04999,14.01309,4.78425
0.12589,14.13779,4.50142
-0.21796,14.61051,4.58020
0.00364,14.60221,4.47850
-0.02383,14.67626,4.97491
0.27332,14.22676,5.09686
0.02087,14.48023,4.92523
-0.30750,14.67339,4.87379
0.04520,14.59385,4.50176
0.50178,14.47056,4.96771
-0.09380,14.41298,4.79968
-0.29403,14.22119,4.89406
0.15576,14.73919,5.08133
0.05003,14.56386,5.00549
0.00026,14.77478,5.27895
-0.23583,14.35685,4.93944
-0.13597,14.42125,4.77680
0.14900,14.55018,5.33948
0.28756,14.73108,5.04142
-0.21358,14.68988,4.70343
0.03966,14.15401,4.45665
-0.40119,14.40603,4.74097
-0.23306,14.62401,5.13513
0.08369,14.24036,4.82550
-0.14300,14.65552,5.18821
0.13434,14.54731,5.05136
0.16929,14.75691,4.64272
-0.31346,14.62535,4.86647
0.03610,14.62396,4.94830
-0.23621,14.32521,4.82444
-0.53825,14.75807,4.81098
-0.10166,14.94435,4.90330
0.13603,14.65653,4.67134
-0.16887,14.77568,5.07402
0.28435,14.32209,5.11368
-0.08560,14.63315,4.65819
-0.39729,14.60979,4.70733
-0.17913,14.64817,4.94388
-0.19634,14.40967,4.57549
0.09066,14.31907,4.95075
-0.44401,14.20944,4.75560
0.03864,14.73274,4.56989
0.25149,14.75456,4.91452
0.17937,14.63251,5.42347
0.07858,14.55175,4.74342
0.02217,14.58869,4.54786
-0.18520,14.59955,4.93840
